MC glo_xyz Etot sig666 sig555 sig544 sig533 sig433 sig421 sig422 sig322 sig321 sig331 sig333 sig544 sig211 sig200 sig311 sig30
0 0 -140.570845 0 0.097778 0.08 0 0.217778 0.035556 0.026667 0.262222 0 0 0 0.08 0.048889 0.057778 0.146667 0.008889
3 1 -140.735256 0 0.123348 0.079295 0 0.176211 0.030837 0.070485 0.242291 0 0 0 0.079295 0.026432 0.088106 0.14978 0.013216
5 2 -140.735269 0 0.123348 0.079295 0 0.176211 0.030837 0.070485 0.242291 0 0 0 0.079295 0.026432 0.088106 0.14978 0.013216
10 3 -141.091875 0 0.088496 0.030973 0 0.044248 0.00885 0.269912 0.181416 0 0 0 0.030973 0.017699 0.09292 0.221239 0.044248
11 4 -141.210089 0 0.089286 0.008929 0 0.03125 0.013393 0.294643 0.174107 0 0 0 0.008929 0.035714 0.075893 0.21875 0.040179
12 5 -141.281944 0 0.075556 0.035556 0 0.044444 0.008889 0.244444 0.262222 0 0 0 0.035556 0.008889 0.071111 0.226667 0.022222
14 6 -141.448482 0 0.088106 0.017621 0 0.008811 0.008811 0.321586 0.211454 0 0 0 0.017621 0.004405 0.070485 0.251101 0.017621
15 7 -141.448613 0 0.088106 0.017621 0 0.008811 0.008811 0.321586 0.211454 0 0 0 0.017621 0.004405 0.070485 0.251101 0.017621
18 8 -141.448642 0 0.088106 0.017621 0 0.008811 0.008811 0.321586 0.211454 0 0 0 0.017621 0.004405 0.070485 0.251101 0.017621
21 9 -141.559906 0 0.070485 0.017621 0 0.017621 0.035242 0.290749 0.220264 0 0 0 0.017621 0.026432 0.048458 0.251101 0.017621
22 10 -141.559936 0 0.070485 0.017621 0 0.017621 0.035242 0.290749 0.220264 0 0 0 0.017621 0.026432 0.048458 0.251101 0.017621
24 11 -141.560839 0 0.091703 0.026201 0 0.026201 0.017467 0.310044 0.200873 0 0 0 0.026201 0.021834 0.043668 0.244541 0.017467
34 12 -141.560842 0 0.091703 0.026201 0 0.026201 0.017467 0.310044 0.200873 0 0 0 0.026201 0.021834 0.043668 0.244541 0.017467
41 13 -141.828211 0 0.095238 0.004329 0 0 0 0.359307 0.229437 0 0 0 0.004329 0 0.038961 0.251082 0.021645
44 14 -141.828216 0 0.095238 0.004329 0 0 0 0.359307 0.229437 0 0 0 0.004329 0 0.038961 0.251082 0.021645
46 15 -142.351539 0 0.102564 0 0 0 0 0.384615 0.25641 0 0 0 0 0 0 0.25641 0
63 16 -142.351541 0 0.102564 0 0 0 0 0.384615 0.25641 0 0 0 0 0 0 0.25641 0
310 17 -142.351541 0 0.102564 0 0 0 0 0.384615 0.25641 0 0 0 0 0 0 0.25641 0
399 18 -142.351541 0 0.102564 0 0 0 0 0.384615 0.25641 0 0 0 0 0 0 0.25641 0
981 19 -142.351542 0 0.102564 0 0 0 0 0.384615 0.25641 0 0 0 0 0 0 0.25641 0
1577 20 -142.351542 0 0.102564 0 0 0 0 0.384615 0.25641 0 0 0 0 0 0 0.25641 0
6460 21 -142.351543 0 0.102564 0 0 0 0 0.384615 0.25641 0 0 0 0 0 0 0.25641 0
